seller_id,seller_name,email,phone,location_id,gstin,rating,joined_date,is_verified,src_created_date,src_updated_date
SEL0031,Prime Point,seller31@primepoint.in,+916950854790,LOC0223,31I17899M986Z0,4.2,2021-05-12,Y,2021-05-12,2021-05-12
SEL0032,Prime Palace,seller32@primepalace.in,+917549198250,LOC0298,31W96605U779Z8,3.1,2020-07-13,Y,2020-07-13,2020-08-13
SEL0033,Flash Mart,seller33@flashmart.in,+916103699492,LOC0169,13J60745V553Z4,3.9/5,2021-03-18,Y,2021-03-18,2021-03-18
SEL0034,Star Zone,seller34@starzone.in,+918784371073,LOC0165,33M52715L983Z5,4.7,2020-11-24,Y,2020-11-24,2021-02-03
SEL0035,Prime Depot,seller35@primedepot.in,+918746524224,LOC0096,34M34755Z752Z2,3.6,2021-10-02,Y,2021-10-02,2021-10-02
SEL0036,Super Zone,seller36@superzone.in,+918407265986,LOC0152,34R82691G119Z6,4.7/5,2022-11-02,Y,2022-11-02,2022-11-02
SEL0037,Top World,seller37@topworld.in,+919956774389,LOC0198,13X49915H703Z8,3.3/5,2021-12-25,N,2021-12-25,2021-12-25
SEL0038,Quick Point,seller38@quickpoint.in,+916940491165,LOC0126,17O32043A977Z6,4.1,2021-04-04,N,2021-04-04,2021-04-04
SEL0039,Smart Depot,seller39@smartdepot.in,+918494927673,LOC0205,30S64546L535Z8,3.7,2021-01-16,N,2021-01-16,2021-01-16
SEL0040,Fast Shop,seller40@fastshop.in,+918486607709,LOC0066,13Z87851Z935Z8,4.6/5,2023-12-09,Y,2023-12-09,2024-02-16
SEL0041,Best Palace,seller41@bestpalace.in,+917880641429,LOC0255,28N12087R057Z2,3.1,2020-04-18,Y,2020-04-18,2020-04-18
SEL0042,Best Palace,seller42@bestpalace.in,+919125707567,LOC0015,32T76263V748Z4,3.7/5,2021-05-31,Y,2021-05-31,2021-05-31
SEL0043,Mega Depot,seller43@megadepot.in,+918926254558,LOC0162,10T05911T186Z2,4.5/5,2020-10-22,Y,2020-10-22,2020-10-22
SEL0044,Super Hub,seller44@superhub.in,+919129601443,LOC0062,20C16966M725Z2,3.2,2021-01-06,Y,2021-01-06,2021-03-11
SEL0045,Flash Zone,seller45@flashzone.in,+917724119090,LOC0103,17L15718I090Z8,3.1,2022-10-20,Y,2022-10-20,2022-11-23
SEL0046,Fast Mart,seller46@fastmart.in,+917652503787,LOC0157,10Z99512G972Z8,3.4,2022-12-19,Y,2022-12-19,2023-01-30
SEL0047,Fast Palace,seller47@fastpalace.in,+919828691765,LOC0226,32Y28270T081Z4,4.9/5,2022-02-05,Y,2022-02-05,2022-02-05
SEL0048,Fast Palace,seller48@fastpalace.in,+918137394980,LOC0099,29E95786Z718Z1,3.7,2022-11-27,Y,2022-11-27,2022-12-10
SEL0049,Smart Point,seller49@smartpoint.in,+916178629362,LOC0184,11P91815Q998Z8,3.8,2021-01-20,Y,2021-01-20,2021-01-20
SEL0050,Smart Zone,seller50@smartzone.in,+917258249966,LOC0219,22N61707D587Z9,3.8,2021-10-18,Y,2021-10-18,2021-11-13
SEL0051,Best Mart,seller51@bestmart.in,+916807792705,LOC0046,19S98250R004Z6,3.4,2022-12-16,N,2022-12-16,2022-12-16
SEL0052,Quick Depot,seller52@quickdepot.in,+916765750213,LOC0261,21V03172H513Z7,3.4,2022-11-07,Y,2022-11-07,2022-11-07
SEL0053,Quick Mart,seller53@quickmart.in,+916499637931,LOC0149,10H52635M022Z9,3.5,2022-02-20,Y,2022-02-20,2022-05-20
SEL0054,Flash Palace,seller54@flashpalace.in,+918689467351,LOC0159,16U46066M437Z4,4.2,2023-12-25,Y,2023-12-25,2023-12-25
SEL0055,Flash Mart,seller55@flashmart.in,+916553570803,LOC0115,12U11271F852Z4,4.9/5,2023-11-26,Y,2023-11-26,2023-11-26
SEL0056,Flash Zone,seller56@flashzone.in,+919674379284,LOC0292,18D16318P328Z0,3.9,2023-01-03,Y,2023-01-03,2023-01-03
SEL0057,Smart Mart,seller57@smartmart.in,+919463500791,LOC0035,17N95727T083Z3,4.4,2022-03-05,Y,2022-03-05,2022-06-02
SEL0058,Quick Hub,seller58@quickhub.in,+917077187074,LOC0090,21O30662J813Z2,4.3,2021-11-30,Y,2021-11-30,2021-11-30
SEL0059,Star Mart,seller59@starmart.in,+918584110265,LOC0271,19R22850D168Z8,3,2022-06-21,Y,2022-06-21,2022-07-23
SEL0060,Top Shop,seller60@topshop.in,+918939117451,LOC0120,10M09069D309Z8,3.1/5,2020-03-19,Y,2020-03-19,2020-04-02
SEL0061,Star Palace,seller61@starpalace.in,+918944672460,LOC0199,24X37945U772Z7,4.1,2023-08-13,Y,2023-08-13,2023-08-13
SEL0062,Fast Zone,seller62@fastzone.in,+917668387671,LOC0132,15L06420O683Z6,3.3,2023-07-28,Y,2023-07-28,2023-07-28
SEL0063,Smart Depot,seller63@smartdepot.in,+917978182654,LOC0232,24M75556E833Z3,4.4,2022-05-12,Y,2022-05-12,2022-05-12
SEL0064,Super Shop,seller64@supershop.in,+919281254406,LOC0210,21U43627D874Z9,3.8,2022-08-06,Y,2022-08-06,2022-08-06
SEL0065,Top World,seller65@topworld.in,+918222649253,LOC0222,15O03692I926Z9,4.6/5,2020-11-16,Y,2020-11-16,2020-11-16
SEL0066,Flash Shop,seller66@flashshop.in,+919275429101,LOC0250,20T98011C000Z5,4.7,2022-08-17,Y,2022-08-17,2022-09-03
SEL0067,Top Bazaar,seller67@topbazaar.in,+917320968032,LOC0034,21T59775W244Z1,4.6,2020-11-04,Y,2020-11-04,2020-11-04
SEL0068,Fast Hub,seller68@fasthub.in,+917759561728,LOC0082,27R74312O102Z6,3.9/5,2022-04-30,Y,2022-04-30,2022-07-19
SEL0069,Quick Palace,seller69@quickpalace.in,+917556428403,LOC0226,28S27079L515Z1,3.4,2023-11-10,Y,2023-11-10,2023-11-10
SEL0070,Flash Hub,seller70@flashhub.in,+919397179687,LOC0101,30K41597A996Z2,3.7,2020-08-15,Y,2020-08-15,2020-08-15
SEL0071,Mega Zone,seller71@megazone.in,+916100692675,LOC0251,20F03447N504Z7,4.3,2022-12-01,Y,2022-12-01,2022-12-01
SEL0072,Quick Hub,seller72@quickhub.in,+916082515604,LOC0155,22G76604W655Z8,4.7,2023-07-02,Y,2023-07-02,2023-09-14
SEL0073,Flash Shop,seller73@flashshop.in,+919088584476,LOC0134,27G74417V158Z1,3,2020-09-28,Y,2020-09-28,2020-09-28
SEL0074,Prime Bazaar,seller74@primebazaar.in,+916661451266,LOC0293,35H11005T129Z7,4.3,2020-06-01,Y,2020-06-01,2020-06-10
SEL0075,Prime Palace,seller75@primepalace.in,+916856937474,LOC0042,15C10633B165Z8,3.4/5,2020-09-06,Y,2020-09-06,2020-09-24
SEL0076,Star Palace,seller76@starpalace.in,+919142046628,LOC0032,24F80123I289Z3,4.4,2023-12-17,Y,2023-12-17,2024-01-23
SEL0077,Prime Bazaar,seller77@primebazaar.in,+919248224656,LOC0117,15M94968U436Z4,4.6,2021-01-18,Y,2021-01-18,2021-01-18
SEL0078,Mega Mart,seller78@megamart.in,+918935743411,LOC0129,19Y21017L096Z1,4.3,2023-09-03,N,2023-09-03,2023-09-03
SEL0079,Star Mart,seller79@starmart.in,+919313078109,LOC0186,32V91945O575Z7,3.6/5,2023-10-13,Y,2023-10-13,2023-12-28
SEL0080,Mega Bazaar,seller80@megabazaar.in,+916183392872,LOC0181,23O75677O226Z6,4.9,2021-04-12,N,2021-04-12,2021-04-12
SEL0081,Top Depot,seller81@topdepot.in,+916059915514,LOC0223,35V22923D067Z2,3.5/5,2023-07-18,Y,2023-07-18,2023-09-03
SEL0082,Star Depot,seller82@stardepot.in,+919667106022,LOC0282,18H37976N270Z5,4.9,2020-11-20,Y,2020-11-20,2020-11-20
SEL0083,Top Point,seller83@toppoint.in,+917009971950,LOC0266,25Z36704U254Z9,3.9,2023-05-29,Y,2023-05-29,2023-05-29
SEL0084,Fast World,seller84@fastworld.in,+917603546179,LOC0066,21S71075N335Z3,4.8/5,2021-07-31,N,2021-07-31,2021-07-31
SEL0085,Star Zone,seller85@starzone.in,+919409422429,LOC0170,32G25939T337Z9,3.9/5,2023-02-10,Y,2023-02-10,2023-02-10
SEL0086,Mega Store,seller86@megastore.in,+918678371663,LOC0165,12Q77941O634Z2,3.7/5,2022-02-25,Y,2022-02-25,2022-02-25
SEL0087,Star Bazaar,seller87@starbazaar.in,+917405375060,LOC0183,29P82457K983Z3,4.9,2021-04-02,Y,2021-04-02,2021-04-02
SEL0088,Prime Zone,seller88@primezone.in,+916837274168,LOC0269,35Q43660J432Z4,3.1,2020-05-04,Y,2020-05-04,2020-05-04
SEL0089,Flash Store,seller89@flashstore.in,+919907589689,LOC0076,24U68297Y514Z7,3.6/5,2022-01-24,Y,2022-01-24,2022-01-24
SEL0090,Star Zone,seller90@starzone.in,+917386431416,LOC0009,13B58752K680Z6,4.3,2020-11-29,Y,2020-11-29,2020-11-29
SEL0091,Top Palace,seller91@toppalace.in,+917391630223,LOC0290,34S08027C122Z1,4,2020-03-11,N,2020-03-11,2020-03-11
SEL0092,Smart Store,seller92@smartstore.in,+917452377785,LOC0042,23K17680Q662Z8,4.6,2022-01-07,Y,2022-01-07,2022-01-07
SEL0093,Star Hub,seller93@starhub.in,+919730888004,LOC0134,17H08003P003Z3,4.9,2020-08-24,N,2020-08-24,2020-08-24
SEL0094,Fast World,seller94@fastworld.in,+919246836686,LOC0203,10Q47068C039Z0,3.4,2021-10-16,Y,2021-10-16,2021-10-16
SEL0095,Quick Shop,seller95@quickshop.in,+918186776733,LOC0085,22G28094I858Z6,3.3,2023-12-08,Y,2023-12-08,2024-01-25
SEL0096,Super Zone,seller96@superzone.in,+917686343515,LOC0062,30J70798Y632Z1,3.1/5,2021-11-16,Y,2021-11-16,2021-12-20
SEL0097,Smart Bazaar,seller97@smartbazaar.in,+917282519253,LOC0110,28J57039I380Z4,3.0/5,2023-03-13,Y,2023-03-13,2023-03-13
SEL0098,Top Bazaar,seller98@topbazaar.in,+917668902821,LOC0168,24M92778T431Z9,3.2,2022-10-20,Y,2022-10-20,2022-10-20
SEL0099,Quick Palace,seller99@quickpalace.in,+917177814535,LOC0001,19O69210L336Z5,3.2,2020-04-12,Y,2020-04-12,2020-04-12
SEL0100,Quick Zone,seller100@quickzone.in,+917297295374,LOC0073,18O31072A113Z7,4.7,2020-03-12,Y,2020-03-12,2020-03-12
SEL0101,Mega Zone,seller101@megazone.in,+918060403184,LOC0033,33W23166A076Z7,3.8,2021-07-07,N,2021-07-07,2021-09-18
SEL0102,Super Mart,seller102@supermart.in,+919049004796,LOC0145,33P34043H700Z9,4.7,2023-09-06,Y,2023-09-06,2023-10-12
SEL0103,Star Bazaar,seller103@starbazaar.in,+916379743832,LOC0189,24P82558R255Z6,3.3,2020-04-06,Y,2020-04-06,2020-04-06
SEL0104,Star Shop,seller104@starshop.in,+919228351807,LOC0254,31R65619I255Z7,3.9/5,2021-08-21,Y,2021-08-21,2021-11-16
SEL0105,Fast Mart,seller105@fastmart.in,+919692432957,LOC0075,29K82923W616Z1,5,2021-12-04,Y,2021-12-04,2021-12-04
SEL0106,Mega Store,seller106@megastore.in,+918854593912,LOC0085,33H57155R686Z3,4.2,2023-03-24,Y,2023-03-24,2023-06-03
SEL0107,Prime Bazaar,seller107@primebazaar.in,+916668731479,LOC0097,32A81721W436Z4,4.7,2023-08-04,Y,2023-08-04,2023-08-04
SEL0108,Prime Bazaar,seller108@primebazaar.in,+916520015475,LOC0107,15Y11471N560Z9,3.6,2020-02-18,Y,2020-02-18,2020-03-27
SEL0109,Smart Zone,seller109@smartzone.in,+919949461622,LOC0245,30T90707K504Z7,4.7,2022-05-27,Y,2022-05-27,2022-05-27
SEL0110,Mega Store,seller110@megastore.in,+918663874969,LOC0180,31P06071P481Z1,3.5,2022-05-15,Y,2022-05-15,2022-05-15
SEL0111,Prime Point,seller111@primepoint.in,+917036713346,LOC0241,11K48739N102Z9,4.7,2022-02-16,Y,2022-02-16,2022-02-16
SEL0112,Mega Point,seller112@megapoint.in,+917989342849,LOC0141,32S68049D872Z7,3.6,2020-05-21,Y,2020-05-21,2020-05-21
SEL0113,Best Palace,seller113@bestpalace.in,+918949815154,LOC0080,12G77306Y260Z4,3.4,2021-11-09,Y,2021-11-09,2021-11-09
SEL0114,Super Point,seller114@superpoint.in,+919472131062,LOC0060,13F22990O756Z0,4.4,2021-04-13,N,2021-04-13,2021-04-13
SEL0115,Top World,seller115@topworld.in,+916144039740,LOC0143,23R61114V576Z8,4.8,2020-08-05,N,2020-08-05,2020-08-05
SEL0116,Fast Store,seller116@faststore.in,+916802260029,LOC0101,24V85847C296Z1,4.1,2020-02-19,Y,2020-02-19,2020-05-03
SEL0117,Fast Zone,seller117@fastzone.in,+917678085636,LOC0006,21B80184S804Z2,3.6,2020-09-29,Y,2020-09-29,2020-09-29
SEL0118,Star Bazaar,seller118@starbazaar.in,+918054177371,LOC0246,16D26881E282Z1,4.0/5,2021-01-21,N,2021-01-21,2021-01-21
SEL0119,Prime Palace,seller119@primepalace.in,+919606788757,LOC0186,17I60605Y603Z5,3.8,2020-12-03,Y,2020-12-03,2021-01-25
SEL0120,Smart Hub,seller120@smarthub.in,+919395032478,LOC0261,23U23984P169Z0,3.8,2022-09-08,Y,2022-09-08,2022-09-08
SEL0121,Fast Mart,seller121@fastmart.in,+917206170611,LOC0238,30Z54895J787Z6,4.5/5,2022-01-26,Y,2022-01-26,2022-01-26
SEL0122,Super World,seller122@superworld.in,+918839011286,LOC0294,14P51758Q914Z4,4.9,2023-10-29,N,2023-10-29,2023-10-29
SEL0123,Super World,seller123@superworld.in,+919890427844,LOC0166,17S35435Q644Z9,3.8,2021-04-11,Y,2021-04-11,2021-04-11
SEL0124,Super Hub,seller124@superhub.in,+918951086533,LOC0186,32R85379Q214Z3,3.4,2023-11-10,Y,2023-11-10,2023-11-10
SEL0125,Top Hub,seller125@tophub.in,+917610606822,LOC0126,22P49785E491Z4,3.2,2023-08-19,Y,2023-08-19,2023-08-19
SEL0126,Mega Depot,seller126@megadepot.in,+919984895177,LOC0254,24R94896G406Z7,4.2,2020-01-07,Y,2020-01-07,2020-02-09
SEL0127,Flash Shop,seller127@flashshop.in,+917551921696,LOC0028,11C41884E163Z0,4.8,2020-09-01,Y,2020-09-01,2020-09-17
SEL0128,Quick Store,seller128@quickstore.in,+919090538024,LOC0142,19N33399S485Z3,3.3,2021-11-22,Y,2021-11-22,2021-11-22
SEL0129,Top Bazaar,seller129@topbazaar.in,+919543860710,LOC0197,16R90219X947Z1,3.2,2020-12-17,Y,2020-12-17,2020-12-17
SEL0130,Smart Bazaar,seller130@smartbazaar.in,+919830617667,LOC0089,17I10346S967Z3,3.5,2022-07-30,Y,2022-07-30,2022-07-30
SEL0131,Flash Point,seller131@flashpoint.in,+919653240687,LOC0195,10R43768K507Z8,4.2,2022-06-25,Y,2022-06-25,2022-08-14
SEL0132,Super Bazaar,seller132@superbazaar.in,+918581075812,LOC0194,15Z63355M434Z3,3.8,2022-02-02,N,2022-02-02,2022-02-12
SEL0133,Quick Palace,seller133@quickpalace.in,+916277862731,LOC0232,32Z06955M076Z7,4.8,2021-05-14,Y,2021-05-14,2021-05-14
SEL0134,Best Shop,seller134@bestshop.in,+919915286336,LOC0134,25F23989Q306Z5,3.1,2021-04-13,Y,2021-04-13,2021-04-13
SEL0135,Fast Store,seller135@faststore.in,+916215027841,LOC0129,12Q47242N423Z6,3.6,2023-06-14,Y,2023-06-14,2023-06-14
SEL0136,Smart Store,seller136@smartstore.in,+919363392086,LOC0091,19R76230Z391Z1,4.5,2023-06-25,Y,2023-06-25,2023-09-17
SEL0137,Fast World,seller137@fastworld.in,+918377000919,LOC0189,33F28230K248Z0,4,2020-09-11,N,2020-09-11,2020-09-11
SEL0138,Flash Hub,seller138@flashhub.in,+919635849218,LOC0068,17T59473O213Z2,4.3,2020-12-08,Y,2020-12-08,2020-12-28
SEL0139,Prime Depot,seller139@primedepot.in,+918271578366,LOC0251,31Y68868O859Z9,4.4/5,2020-10-05,Y,2020-10-05,2020-12-03
SEL0140,Best World,seller140@bestworld.in,+916542195985,LOC0019,16C95419N664Z5,3,2022-04-14,Y,2022-04-14,2022-06-17
SEL0141,Quick Bazaar,seller141@quickbazaar.in,+919222717995,LOC0076,24S24632A374Z7,3.8,2022-06-10,Y,2022-06-10,2022-06-10
SEL0142,Top Bazaar,seller142@topbazaar.in,+917053838952,LOC0075,30D45057M619Z4,3.7,2022-08-06,Y,2022-08-06,2022-08-13
SEL0143,Star Mart,seller143@starmart.in,+916830987273,LOC0159,26F01284B083Z8,3.7,2022-09-08,Y,2022-09-08,2022-10-21
SEL0144,Top Palace,seller144@toppalace.in,+917402498687,LOC0146,21B89177N808Z9,4.0/5,2022-07-31,N,2022-07-31,2022-07-31
SEL0145,Fast Depot,seller145@fastdepot.in,+917889190588,LOC0137,14E31964M300Z4,3,2021-11-07,Y,2021-11-07,2021-11-07
SEL0146,Flash Palace,seller146@flashpalace.in,+919547308489,LOC0078,23R94301F047Z1,3.4,2021-01-31,N,2021-01-31,2021-01-31
SEL0147,Fast Point,seller147@fastpoint.in,+919486181049,LOC0176,29X57498R558Z2,4.3,2020-08-21,Y,2020-08-21,2020-10-19
SEL0148,Super World,seller148@superworld.in,+918550567701,LOC0126,17A67458J760Z9,3.6,2023-10-29,N,2023-10-29,2023-10-29
SEL0149,Prime Hub,seller149@primehub.in,+919782775924,LOC0128,24E18856X669Z5,3.6,2023-02-10,Y,2023-02-10,2023-03-11
SEL0150,Super Point,seller150@superpoint.in,+919977674435,LOC0030,23M62670K514Z3,4,2023-09-19,N,2023-09-19,2023-10-30
